Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count,Platforms ,Platform Metascores,Platform Metascore Counts
Avatar: Frontiers of Pandora,7/12/2023,Massive Entertainment,Ubisoft,Open-World Action,Rated T For Teen,7.7,599,"PC, PlayStation 5, Xbox Series X","72, 72, 75","Based on 86 Critic Reviews, Based on 28 Critic Reviews, Based on 15 Critic Reviews"
Biomutant,25/5/2021,Experiment 101,THQ Nordic,Action RPG,Rated T For Teen,6.3,508,"Xbox One, PlayStation 4, PC, Xbox Series X, PlayStation 5","68, 64, 66, 79, 69","Based on 35 Critic Reviews, Based on 53 Critic Reviews, Based on 65 Critic Reviews, Based on 5 Critic Reviews, Based on 9 Critic Reviews"
Killzone: Liberation,31/10/2006,Guerrilla,SCEA,Top-Down Shoot-'Em-Up,Rated T For Teen,7.9,112,PSP,77,Based on 56 Critic Reviews
Undertow,21/11/2007,Chair Entertainment,Chair Entertainment,Horizontal Shoot-'Em-Up,Rated E +10 For Everyone +10,5.5,11,Xbox 360,76,Based on 32 Critic Reviews
New Tales from the Borderlands,21/10/2022,Gearbox Software,2K Games,Adventure,Rated M For Mature,3.8,72,"PC, Xbox Series X, PlayStation 5, PlayStation 4","69, 64, 57, tbd","Based on 62 Critic Reviews, Based on 7 Critic Reviews, Based on 14 Critic Reviews, Based on 1 Critic Review"
Jeremy McGrath's Offroad,27/6/2012,2XL Games,D3Publisher,Auto Racing Sim,Rated E For Everyone,5.7,10,"Xbox 360, PlayStation 3","60, 61","Based on 16 Critic Reviews, Based on 9 Critic Reviews"
Shadow of the Beast,17/5/2016,Heavy Spectrum,Sony Interactive Entertainment,Action Adventure,Rated M For Mature,7.3,169,PlayStation 4,64,Based on 61 Critic Reviews
Waking Mars,1/3/2012,Tiger Style,Tiger Style,2D Platformer,Not Rated,6.7,12,"iOS (iPhone/iPad), PC","84, 79","Based on 18 Critic Reviews, Based on 5 Critic Reviews"
Total War: WARHAMMER III - Forge of the Chaos Dwarfs,13/4/2023,Creative Assembly,Sega,Real-Time Tactics,Not Rated,6.2,19,PC,83,Based on 10 Critic Reviews
1979 Revolution: Black Friday,4/4/2016,iNK Stories,iNK Stories,Adventure,Not Rated,7.5,85,"iOS (iPhone/iPad), PC, Xbox One, PlayStation 4, Nintendo Switch","tbd, 80, tbd, 70, 77","Based on 1 Critic Review, Based on 27 Critic Reviews, Based on 3 Critic Reviews, Based on 10 Critic Reviews, Based on 7 Critic Reviews"
Two Worlds II,25/1/2011,Reality Pump,SouthPeak Games,Action RPG,Rated M For Mature,6.5,150,"PC, PlayStation 3, Xbox 360","75, 70, 67","Based on 31 Critic Reviews, Based on 28 Critic Reviews, Based on 50 Critic Reviews"
Mega Man X: Command Mission,21/9/2004,"Valuewave Co.,Ltd.",Capcom,JRPG,Rated E For Everyone,7.5,36,"PlayStation 2, GameCube","69, 67","Based on 27 Critic Reviews, Based on 21 Critic Reviews"
Square Planet,17/10/2012,Majaka,Majaka,2D Platformer,Not Rated,6.894852313,,iOS (iPhone/iPad),57,Based on 7 Critic Reviews
Command & Conquer: Red Alert 2,21/10/2000,Westwood Studios,Electronic Arts,Command RTS,Rated T For Teen,8.8,508,PC,84,Based on 29 Critic Reviews
Valiant Hearts: Coming Home,1/2/2023,Old Skull Games,Netflix,2D Platformer,Not Rated,6.9,8,iOS (iPhone/iPad),73,Based on 11 Critic Reviews
Earthfall,13/7/2018,Holospark,Holospark,Tactical FPS,Rated T For Teen,5.7,15,"PlayStation 4, PC, Xbox One","54, 61, 56","Based on 9 Critic Reviews, Based on 16 Critic Reviews, Based on 19 Critic Reviews"
Speed Zone,18/8/2009,Awesome Play Ltd.,Detn8,Future Racing,Rated E For Everyone,5.3,,Wii,37,Based on 14 Critic Reviews
Floodland,15/11/2022,Vile Monarch,Ravenscourt,Management,Not Rated,5.3,8,PC,73,Based on 26 Critic Reviews
FlatOut: Ultimate Carnage,2/10/2007,Bugbear,Warner Bros. Interactive Entertainment,Auto Racing,Rated T For Teen,8.4,39,"Xbox 360, PC","80, 79","Based on 44 Critic Reviews, Based on 16 Critic Reviews"
Saints Row: The Third Remastered,22/5/2020,Sperasoft,Deep Silver,Open-World Action,Rated M For Mature,7,111,"Xbox One, PC, PlayStation 4, PlayStation 5","76, 70, 74, tbd","Based on 15 Critic Reviews, Based on 15 Critic Reviews, Based on 44 Critic Reviews, Based on 1 Critic Review"
Psychonauts in The Rhombus of Ruin,21/2/2017,Double Fine Productions,Double Fine Productions,Action,Rated E +10 For Everyone +10,7.4,41,"PlayStation 4, PC","71, tbd","Based on 36 Critic Reviews, Based on 3 Critic Reviews"
Master of Illusion,26/11/2007,Eighting,Nintendo,Application,Rated E For Everyone,6.894852313,,DS,69,Based on 20 Critic Reviews
Nintendogs: Chihuahua & Friends,22/8/2005,Nintendo,Nintendo,Virtual Pet,Rated E For Everyone,5,29,DS,83,Based on 55 Critic Reviews
StarCraft 64,12/6/2000,Mass Media,Nintendo,Command RTS,Rated T For Teen,6.8,39,Nintendo 64,80,Based on 17 Critic Reviews
Human Resource Machine,15/10/2015,Tomorrow Corporation,Tomorrow Corporation,Puzzle,Not Rated,8,48,"PC, Wii U, iOS (iPhone/iPad), Nintendo Switch","78, 72, 86, 77","Based on 12 Critic Reviews, Based on 7 Critic Reviews, Based on 4 Critic Reviews, Based on 11 Critic Reviews"
Cities XL,8/10/2009,Monte Cristo,Focus Home Interactive,Management,Rated E For Everyone,5,31,PC,69,Based on 35 Critic Reviews
Rocky and Bullwinkle,16/4/2008,Zen Studios,Microsoft Game Studios,Party,Rated E For Everyone,4.8,5,Xbox 360,37,Based on 16 Critic Reviews
Mighty Morphin Power Rangers: Mega Battle,17/1/2017,Bamtang,Bandai Namco Games,2D Beat-'Em-Up,Rated E +10 For Everyone +10,7.6,58,"PlayStation 4, Xbox One","49, 46","Based on 19 Critic Reviews, Based on 5 Critic Reviews"
EVE Online,6/5/2003,CCP,Simon & Schuster,MMORPG,Rated T For Teen,6.7,307,PC,69,Based on 22 Critic Reviews
Assault Suits Valken Declassified,30/3/2023,M2,Rainmaker Productions,Horizontal Shoot-'Em-Up,Not Rated,6.894852313,,Nintendo Switch,76,Based on 9 Critic Reviews
MotoGP 3,17/3/2003,Namco,Namco,Auto Racing Sim,Rated E For Everyone,8.3,7,PlayStation 2,80,Based on 20 Critic Reviews
Sam & Max Episode 105: Reality 2.0,29/3/2007,Telltale Games,GameTap,Point-and-Click,Not Rated,7.1,19,PC,82,Based on 23 Critic Reviews
Call of Duty: Black Ops,9/11/2010,Treyarch,Activision,Tactical FPS,Rated M For Mature,6.8,1910,"PC, PlayStation 3, Xbox 360, Wii, DS","81, 88, 87, 80, 74","Based on 29 Critic Reviews, Based on 58 Critic Reviews, Based on 89 Critic Reviews, Based on 25 Critic Reviews, Based on 13 Critic Reviews"
Space Miner: Space Ore Bust,5/2/2010,"Venan Entertainment, Inc.","Venan Entertainment, Inc.",RPG,Not Rated,5.8,5,iOS (iPhone/iPad),91,Based on 9 Critic Reviews
Pushmo,8/12/2011,Intelligent Systems,Nintendo,Action Puzzle,Rated E For Everyone,8.3,217,3DS,90,Based on 31 Critic Reviews
1001 Spikes,3/6/2014,Nicalis,Nicalis,2D Platformer,Rated T For Teen,6.5,37,"3DS, Wii U, PlayStation Vita, PlayStation 4, Xbox One, PC","73, 83, 81, 78, tbd, 80","Based on 4 Critic Reviews, Based on 6 Critic Reviews, Based on 4 Critic Reviews, Based on 8 Critic Reviews, Based on 2 Critic Reviews, Based on 4 Critic Reviews"
Vanquish,19/10/2010,PlatinumGames,Sega,Third Person Shooter,Rated M For Mature,9.6,1907,"PlayStation 3, Xbox 360, PC, PlayStation 4, Xbox One","84, 84, 78, 77, tbd","Based on 61 Critic Reviews, Based on 70 Critic Reviews, Based on 22 Critic Reviews, Based on 5 Critic Reviews, Based on 1 Critic Review"
Pro Evolution Soccer 2011,19/10/2010,Konami,Konami,Soccer Sim,Rated E For Everyone,6.4,43,"PlayStation 3, Xbox 360, Wii, PSP, PC, PlayStation 2, iOS (iPhone/iPad), 3DS","77, 79, 78, 74, 79, tbd, tbd, 73","Based on 40 Critic Reviews, Based on 43 Critic Reviews, Based on 9 Critic Reviews, Based on 10 Critic Reviews, Based on 9 Critic Reviews, Based on 1 Critic Review, Based on 2 Critic Reviews, Based on 43 Critic Reviews"
Excitebots: Trick Racing,20/4/2009,Monster Games Inc.,Nintendo,Auto Racing,Rated E For Everyone,7.4,16,Wii,77,Based on 29 Critic Reviews
Dance Dance Revolution Disney Mix,18/9/2001,Konami,Konami,Dancing,Rated E For Everyone,6.894852313,,PlayStation,74,Based on 7 Critic Reviews
Da New Guys: Day of the Jackass,29/2/2012,ICEBOX Studios,Wadjet Eye Games,Point-and-Click,Not Rated,5.8,8,PC,56,Based on 9 Critic Reviews
Septerra Core: Legacy of the Creator,31/10/1999,Valkyrie Studios,Monolith Productions,RPG,Rated T For Teen,7.6,74,PC,70,Based on 20 Critic Reviews
Speedball 2 HD,5/12/2013,Vivid Games,Mastertronic,Future Sport,Not Rated,3.8,21,PC,53,Based on 10 Critic Reviews
One Piece: Unlimited Cruise SP,26/5/2011,Bandai Namco Games,Bandai Namco Games,Action,Not Rated,6.8,18,3DS,46,Based on 20 Critic Reviews
Marvel: Ultimate Alliance,24/10/2006,Raven Software,Activision,Action RPG,Rated T For Teen,7.9,113,"Xbox 360, Xbox, PlayStation 2, PlayStation 3, PSP, Wii, PC, Game Boy Advance","82, 83, 81, 78, 81, 73, 82, tbd","Based on 68 Critic Reviews, Based on 26 Critic Reviews, Based on 29 Critic Reviews, Based on 35 Critic Reviews, Based on 19 Critic Reviews, Based on 31 Critic Reviews, Based on 22 Critic Reviews, Based on 3 Critic Reviews"
Toy Home,20/12/2007,Game Republic,SCEA,Auto Racing,Rated E For Everyone,4.8,,PlayStation 3,57,Based on 7 Critic Reviews
Laser League,10/5/2018,roll7,505 Games,Future Sport,Rated E +10 For Everyone +10,6.2,34,"PC, PlayStation 4, Xbox One","78, 82, 81","Based on 6 Critic Reviews, Based on 28 Critic Reviews, Based on 12 Critic Reviews"
NightCry,29/3/2016,"NUDE MAKER,Y.K.",Active Gaming Media,Action Adventure,Rated M For Mature,8.4,5,"PC, PlayStation Vita","44, tbd","Based on 8 Critic Reviews, Based on 3 Critic Reviews"
Mystical Ninja starring Goemon,16/4/1998,KCEO,Konami,Open-World Action,Rated E For Everyone,8.5,48,Nintendo 64,67,Based on 10 Critic Reviews
Myth: The Fallen Lords,31/10/1997,Bungie,Bungie,Real-Time Strategy,Rated M For Mature,8.4,101,PC,91,Based on 9 Critic Reviews
Quantum Error,3/11/2023,TeamKill Media LLC,TeamKill Media LLC,FPS,Rated M For Mature,3.5,63,PlayStation 5,40,Based on 16 Critic Reviews
Mafia II: Definitive Edition,19/5/2020,Hangar 13,2K Games,Open-World Action,Rated M For Mature,5.9,503,"PlayStation 4, PC, Xbox One","56, 72, 66","Based on 9 Critic Reviews, Based on 32 Critic Reviews, Based on 11 Critic Reviews"
The Red Lantern,22/10/2020,Timberline Studio,Timberline Studio,Survival,Rated T For Teen,5,10,"Nintendo Switch, PC","65, 69","Based on 14 Critic Reviews, Based on 5 Critic Reviews"
Caveman Warriors,5/12/2017,JanduSoft,JanduSoft,2D Platformer,Rated E +10 For Everyone +10,5.6,7,"Xbox One, PlayStation 4, Nintendo Switch","69, 57, 52","Based on 5 Critic Reviews, Based on 4 Critic Reviews, Based on 9 Critic Reviews"
Final Fantasy V,6/11/2006,TOSE,Nintendo,JRPG,Rated E For Everyone,8.1,84,"iOS (iPhone/iPad), PC, Game Boy Advance","85, tbd, 83","Based on 4 Critic Reviews, Based on 2 Critic Reviews, Based on 25 Critic Reviews"
Sunset Overdrive and the Mystery of the Mooil Rig!,23/12/2014,Insomniac Games,Microsoft Game Studios,Third Person Shooter,Rated M For Mature,7.1,35,Xbox One,65,Based on 9 Critic Reviews
From Dust,27/7/2011,Ubisoft Montpellier,Ubisoft,Strategy,Rated E +10 For Everyone +10,7.6,90,"Xbox 360, PlayStation 3, PC","80, 81, 76","Based on 76 Critic Reviews, Based on 11 Critic Reviews, Based on 15 Critic Reviews"
Kill Strain,12/7/2016,SCEA San Diego Studios,Sony Interactive Entertainment,Third Person Shooter,Rated T For Teen,7.2,31,PlayStation 4,53,Based on 8 Critic Reviews
Kingdom Under Fire: Heroes,20/9/2005,Phantagram,Microsoft Game Studios,Real-Time Strategy,Rated M For Mature,6.9,18,Xbox,78,Based on 55 Critic Reviews
All Walls Must Fall,8/8/2017,inbetweengames,inbetweengames,Real-Time Tactics,Not Rated,6.894852313,,PC,72,Based on 13 Critic Reviews
Wanted Corp,6/12/2011,EKO Software,Zoo Entertainment,Top-Down Shoot-'Em-Up,Rated T For Teen,6.894852313,,"PlayStation 3, PlayStation Vita","59, tbd","Based on 7 Critic Reviews, Based on 1 Critic Review"
Mini Ninjas Adventures,29/6/2012,Side Kick LTD,Square Enix,Action,Rated E +10 For Everyone +10,8,,Xbox 360,65,Based on 11 Critic Reviews
Jim Henson's Muppets Party Cruise,13/11/2003,Mass Media,TDK Mediactive,Party,Rated E For Everyone,7.8,,"PlayStation 2, GameCube","61, tbd","Based on 11 Critic Reviews, Based on 3 Critic Reviews"
Drake of the 99 Dragons,3/11/2003,Idol FX,Majesco,Third Person Shooter,Rated T For Teen,1.8,29,"PC, Xbox","tbd, 22","Based on 2 Critic Reviews, Based on 16 Critic Reviews"
The Outlast Trials,5/3/2024,Red Barrels,Red Barrels,Survival,Not Rated,6.894852313,,PC,tbd,Based on 7 Critic Reviews
Before We Leave,13/5/2021,Balancing Monkey Games,Team17,Management,Not Rated,7.5,37,"PC, Xbox Series X, PlayStation 5, PlayStation 4, Nintendo Switch","72, 66, tbd, tbd, tbd","Based on 21 Critic Reviews, Based on 4 Critic Reviews, Based on 1 Critic Review, Based on 1 Critic Review, Based on 3 Critic Reviews"
Sayonara UmiharaKawase +,21/4/2015,Studio Saizensen,Agatsuma Entertainment,2D Platformer,Rated E For Everyone,8.2,13,"PC, PlayStation Vita","73, 76","Based on 4 Critic Reviews, Based on 8 Critic Reviews"
Dark Void Zero,18/1/2010,Other Ocean Interactive,Capcom,2D Platformer,Rated E For Everyone,5.7,7,"PC, iOS (iPhone/iPad), DS","tbd, 81, 84","Based on 2 Critic Reviews, Based on 8 Critic Reviews, Based on 14 Critic Reviews"
Sonic the Hedgehog 2,20/2/2020,M2,Sega,2D Platformer,Rated E For Everyone,8.2,44,"3DS, Nintendo Switch, Xbox 360, iOS (iPhone/iPad)","87, 83, 82, 60","Based on 10 Critic Reviews, Based on 15 Critic Reviews, Based on 11 Critic Reviews, Based on 9 Critic Reviews"
Reign of Fire,22/10/2002,Kuju Entertainment,Bam Entertainment,Third Person Shooter,Rated M For Mature,6.8,,"Xbox, GameCube, PlayStation 2, Game Boy Advance","54, 54, 56, 61","Based on 13 Critic Reviews, Based on 9 Critic Reviews, Based on 16 Critic Reviews, Based on 9 Critic Reviews"
IndyCar Series,21/5/2003,Codemasters,Codemasters,Auto Racing Sim,Rated E For Everyone,6.894852313,,"PC, PlayStation 2, Xbox","72, 69, 71","Based on 9 Critic Reviews, Based on 20 Critic Reviews, Based on 8 Critic Reviews"
Dance Dance Revolution Extreme,21/9/2004,KCET,Konami,Dancing,Rated E For Everyone,4,,PlayStation 2,77,Based on 26 Critic Reviews
The Lord of the Rings: Return to Moria,24/10/2023,Free Range Games,North Beach Games,Sandbox,Rated T For Teen,7.1,105,"PC, PlayStation 5","59, 51","Based on 37 Critic Reviews, Based on 4 Critic Reviews"
Golf: Tee It Up!,9/7/2008,Housemarque,Activision,Golf,Rated E For Everyone,6.894852313,,Xbox 360,69,Based on 17 Critic Reviews
Broken Sword: Shadow of the Templars,24/3/2009,Revolution Software,Ubisoft,Point-and-Click,Rated T For Teen,8.9,15,"iOS (iPhone/iPad), Wii, DS, PC","91, 74, 78, tbd","Based on 9 Critic Reviews, Based on 29 Critic Reviews, Based on 22 Critic Reviews, Based on 3 Critic Reviews"
Mechanic Master,21/10/2008,Most Wanted Entertainment,Midway,Puzzle,Rated E For Everyone,6.894852313,,DS,76,Based on 9 Critic Reviews
Gel: Set & Match,20/5/2009,Gastronaut Studios,Gastronaut Studios,Action Puzzle,Rated E For Everyone,6.894852313,,Xbox 360,72,Based on 9 Critic Reviews
Grow Up,16/8/2016,Ubisoft Reflections,Ubisoft,Open-World Action,Rated E For Everyone,6.6,37,"PlayStation 4, Xbox One, PC","70, 74, 71","Based on 36 Critic Reviews, Based on 8 Critic Reviews, Based on 10 Critic Reviews"
God of War: Chains of Olympus,4/3/2008,Ready at Dawn,SCEA,Linear Action Adventure,Rated M For Mature,8.6,1047,PSP,91,Based on 79 Critic Reviews
Aliens vs. Predator: Requiem,13/11/2007,Rebellion,Sierra Entertainment,Action Adventure,Rated T For Teen,8.5,80,PSP,49,Based on 34 Critic Reviews
Ratchet & Clank,4/11/2002,Insomniac Games,SCEA,3D Platformer,Rated T For Teen,8.8,520,PlayStation 2,88,Based on 43 Critic Reviews
Age of Empires: Mythologies,24/11/2008,Griptonite Games,THQ,Turn-Based Tactics,Rated E +10 For Everyone +10,7.8,43,DS,78,Based on 28 Critic Reviews
Republic: The Revolution,27/8/2003,Elixir Studios,Eidos Interactive,Real-Time Strategy,Rated T For Teen,6,11,PC,62,Based on 21 Critic Reviews
BAFL: Brakes Are For Losers,19/4/2018,Oudidon,Oudidon,Auto Racing,Rated E For Everyone,6.894852313,,Nintendo Switch,63,Based on 14 Critic Reviews
Grand Prix Challenge,3/3/2003,Melbourne House,Infogrames,Auto Racing Sim,Rated E For Everyone,6.894852313,,PlayStation 2,76,Based on 9 Critic Reviews
Vanishing Point,3/1/2001,Clockwork Games,Acclaim,Auto Racing,Rated E For Everyone,8.2,11,"Dreamcast, PlayStation","80, 68","Based on 16 Critic Reviews, Based on 11 Critic Reviews"
Gungrave,16/9/2002,RED Entertainment,Sega,Third Person Shooter,Rated M For Mature,7.7,24,PlayStation 2,65,Based on 28 Critic Reviews
Guild Wars 2: End of Dragons,28/2/2022,ArenaNet,NCSOFT,MMORPG,Rated T For Teen,7.4,120,PC,81,Based on 12 Critic Reviews
Star Wars: Jedi Starfighter,10/3/2002,LucasArts,LucasArts,Space Combat Sim,Rated T For Teen,8.5,23,"PlayStation 2, Xbox","81, 78","Based on 22 Critic Reviews, Based on 22 Critic Reviews"
Crusader Kings II: The Old Gods,28/5/2013,Paradox Development Studio,Paradox Interactive,Real-Time Strategy,Not Rated,8.6,187,PC,88,Based on 7 Critic Reviews
WWE Crush Hour,17/3/2003,Pacific Coast Power & Light,THQ,Vehicle Combat Sim,Rated T For Teen,6.894852313,,"GameCube, PlayStation 2","55, 56","Based on 14 Critic Reviews, Based on 13 Critic Reviews"
Dead Cells,7/8/2018,Motion Twin,Motion Twin,Metroidvania,Rated T For Teen,8.4,566,"PC, PlayStation 4, Nintendo Switch, Xbox One, iOS (iPhone/iPad)","89, 87, 89, 91, 84","Based on 35 Critic Reviews, Based on 32 Critic Reviews, Based on 40 Critic Reviews, Based on 18 Critic Reviews, Based on 5 Critic Reviews"
Gemini: Heroes Reborn,18/1/2016,"Phosphor Games Studio, LLC","Phosphor Games Studio, LLC",Linear Action Adventure,Rated T For Teen,5.5,22,"PC, Xbox One, PlayStation 4","54, 63, 57","Based on 14 Critic Reviews, Based on 12 Critic Reviews, Based on 6 Critic Reviews"
Pro Evolution Soccer 2010,3/11/2009,Konami,Konami,Soccer Sim,Rated E For Everyone,6.7,44,"PlayStation 3, Xbox 360, PC, PlayStation 2, Wii, PSP","78, 78, 78, tbd, 82, 72","Based on 42 Critic Reviews, Based on 34 Critic Reviews, Based on 8 Critic Reviews, Based on 2 Critic Reviews, Based on 13 Critic Reviews, Based on 9 Critic Reviews"
Hot Wheels Unleashed,27/9/2021,Milestone S.r.l,Milestone S.r.l,Auto Racing,Rated E For Everyone,7,96,"PlayStation 5, Xbox Series X, Xbox One, PlayStation 4, Nintendo Switch, PC","75, 72, tbd, 74, 73, 78","Based on 42 Critic Reviews, Based on 26 Critic Reviews, Based on 1 Critic Review, Based on 7 Critic Reviews, Based on 9 Critic Reviews, Based on 18 Critic Reviews"
King's Quest Chapter 3: Once Upon a Climb,26/4/2016,The Odd Gentlemen,Sierra Games,Adventure,Rated E +10 For Everyone +10,7.4,28,"Xbox One, PC, PlayStation 4","80, 78, 79","Based on 8 Critic Reviews, Based on 4 Critic Reviews, Based on 10 Critic Reviews"
Tails: The Backbone Preludes,2/2/2023,EggNut,Raw Fury,Adventure,Not Rated,6.894852313,,PC,77,Based on 8 Critic Reviews
100 Rogues,4/5/2010,Fusion Reactions,Fusion Reactions,RPG,Not Rated,6.2,6,iOS (iPhone/iPad),80,Based on 10 Critic Reviews
X-Blades,6/2/2009,Gaijin Entertainment,SouthPeak Games,3D Beat-'Em-Up,Rated M For Mature,5.3,13,"PlayStation 3, PC, Xbox 360","50, 54, 50","Based on 31 Critic Reviews, Based on 17 Critic Reviews, Based on 39 Critic Reviews"
Castlevania: Harmony of Despair,4/8/2010,Konami,Konami,Action Adventure,Rated T For Teen,7.5,36,"PlayStation 3, Xbox 360","68, 67","Based on 11 Critic Reviews, Based on 62 Critic Reviews"
Puzzle Restorer,14/2/2013,,,Action,Not Rated,6.894852313,,iOS (iPhone/iPad),76,Based on 7 Critic Reviews
The Scorpion King: Rise of the Akkadian,11/9/2002,Point of View,Universal Interactive,3D Beat-'Em-Up,Rated T For Teen,6.894852313,,"GameCube, PlayStation 2","49, 47","Based on 7 Critic Reviews, Based on 12 Critic Reviews"
Star Wars Galaxies: An Empire Divided,9/7/2003,Sony Online Entertainment,LucasArts,MMORPG,Rated T For Teen,6.4,43,PC,71,Based on 33 Critic Reviews
Game & Watch Gallery 4,28/10/2002,TOSE,Nintendo,Compilation,Rated E For Everyone,7,,Game Boy Advance,71,Based on 14 Critic Reviews
Tchia,21/3/2023,Awaceb,Kepler Interactive,Open-World Action,Rated T For Teen,6.7,121,"PC, PlayStation 5, PlayStation 4","76, 77, tbd","Based on 35 Critic Reviews, Based on 37 Critic Reviews, Based on 1 Critic Review"
Katamari Damacy REROLL,7/12/2018,Bandai Namco Games,Bandai Namco Games,Action Adventure,Rated E For Everyone,7.9,117,"Nintendo Switch, PC, PlayStation 4, Xbox One","87, 81, 82, 73","Based on 23 Critic Reviews, Based on 13 Critic Reviews, Based on 21 Critic Reviews, Based on 4 Critic Reviews"
